主力净流入,主力流入,主力流出,超大买单成交量,超大买单成交额,超大卖单成交量,超大卖单成交额,大买单成交量,大买单成交额,大卖单成交量,大卖单成交额,中买单成交量,中买单成交额,中卖单成交量,中卖单成交额,小买单成交量,小买单成交额,小卖单成交量,小卖单成交额,时间区间
-5564492,3067448.0,8631940.0,0,0.0,521600,4886715.0,327000,3067448.0,399800,3745225.0,274500,2574730.0,1106897,10368687.8,301303,2824989.2,664000,6219446.0,20190102093000000 to 20190102094000000
-23754446.16,4527929.63,28282375.79,0,0.0,1238463,11513947.79,486100,4527929.63,1807400,16768428.0,381000,3537184.0,2312900,21455468.0,426700,3964843.0,767937,7132761.21,20190102094000000 to 20190102095000000
-6643798.28,8479403.52,15123201.8,0,0.0,348000,3221788.0,915519,8479403.52,1286240,11901413.8,1123700,10408937.0,1030700,9529079.4,397500,3680779.0,334862,3097221.92,20190102095000000 to 20190102100000000
10163778,12868543.0,2704765.0,735000,6815220.0,0,0.0,652300,6053323.0,291800,2704765.0,411200,3813064.0,454300,4209335.0,272600,2527667.0,325648,3017865.96,20190102100000000 to 20190102101000000
-9003510.33,2509653.0300000003,11513163.360000001,0,0.0,900100,8316045.390000001,271661,2509653.0300000003,345639,3197117.9699999997,283600,2623505.0,387300,3581320.0,222800,2061635.0,235380,2176546.6,20190102101000000 to 20190102102000000
287990,1706625.0,1418635.0,184500,1706625.0,0,0.0,0,0.0,153300,1418635.0,252350,2336844.5,128300,1186851.0,171400,1587070.0,225778,2088490.0,20190102102000000 to 20190102103000000
-5184610.39,801050.0,5985660.39,0,0.0,336000,3106185.0,86600,801050.0,311900,2879475.39,138261,1277567.03,547539,5056235.97,141700,1309821.0,353400,3264646.0,20190102103000000 to 20190102104000000
156188,917532.0,761344.0,0,0.0,0,0.0,99300,917532.0,82500,761344.0,178600,1649775.0,332800,3072749.0,182500,1686178.0,193400,1785730.0,20190102104000000 to 20190102105000000
894475,3126816.0,2232341.0,0,0.0,0,0.0,338400,3126816.0,241800,2232341.0,130300,1204687.0,625800,5778919.0,184600,1706631.0,241589,2231358.4699999997,20190102105000000 to 20190102110000000
-3322838,461500.0,3784338.0,0,0.0,170000,1567400.0,50000,461500.0,240100,2216938.0,96700,893486.0,474800,4379723.0,156700,1446964.0,237400,2190704.0,20190102110000000 to 20190102111000000
-2039136,1060527.0,3099663.0,114900,1060527.0,271000,2499987.0,0,0.0,64900,599676.0,75700,699252.0,318500,2939063.0,157000,1450440.0,113700,1049322.0,20190102111000000 to 20190102112000000
113128,737752.0,624624.0,0,0.0,0,0.0,79800,737752.0,67600,624624.0,103800,959912.0,258283,2385814.89,125820,1163463.8,99043,914952.89,20190102112000000 to 20190102113000000
-4738232.96,816855.0,5555087.96,0,0.0,506752,4675008.96,88500,816855.0,95400,880079.0,98500,909697.0,241672,2230599.08,142448,1315418.52,193228,1782894.44,20190102130000000 to 20190102131000000
-10969807.8,0.0,10969807.8,0,0.0,943060,8688828.200000001,0,0.0,247700,2280979.6,148640,1370729.4,501900,4622465.0,201140,1854769.4,379300,3493611.4000000004,20190102131000000 to 20190102132000000
-2321611,1259452.0,3581063.0000000005,0,0.0,200000,1842612.0000000002,136600,1259452.0,188700,1738451.0000000002,214500,1977600.0,332735,3064706.35,234165,2157920.65,220565,2031256.0,20190102132000000 to 20190102133000000
-7241504.86,3522491.18,10763996.04,150258,1383876.1800000002,702000,6459157.42,231900,2138615.0,467422,4304838.62,235700,2171151.0,392177,3612019.4,253856,2338795.76,208622,1921274.62,20190102133000000 to 20190102134000000
16064,878696.0,862632.0,0,0.0,0,0.0,95200,878696.0,93500,862632.0,160200,1478646.0,198000,1826310.0,126700,1169593.0,237800,2193120.0,20190102134000000 to 20190102135000000
-15677034,1591488.0000000002,17268522.0,172800,1591488.0000000002,1258000,11574213.0,0,0.0,618600,5694309.0,176300,1625588.0,576900,5311614.04,175640,1618608.0,325460,2997141.56,20190102135000000 to 20190102140000000
-2458534.56,3880134.0,6338668.5600000005,119900,1099483.0,296040,2717647.2,302900,2780651.0,394696,3621021.36,363000,3338304.0,841900,7730557.6,393700,3619547.0,353020,3241774.6,20190102140000000 to 20190102141000000
904422,1408209.0,503787.00000000006,0,0.0,0,0.0,152900,1408209.0,54700,503787.00000000006,146900,1352960.0,78300,720750.0,233700,2152555.0,140500,1292864.0,20190102141000000 to 20190102142000000
-648953,324544.0,973497.0,0,0.0,0,0.0,35200,324544.0,105700,973497.0,295600,2725681.0,139300,1282865.0,146000,1346123.0,106391,979834.51,20190102142000000 to 20190102143000000
738018,1236820.0,498802.0,0,0.0,0,0.0,134000,1236820.0,54100,498802.0,146300,1351456.0,194200,1791822.0,131900,1217997.0,198400,1830208.0,20190102143000000 to 20190102144000000
-5193262.8,3634132.6000000006,8827395.4,0,0.0,659900,6071481.0,394480,3634132.6000000006,299551,2755914.4,229340,2112469.29,336669,3100986.69,135800,1250533.0899999999,279669,2575532.0,20190102144000000 to 20190102145000000
-3842762.98,1244288.0,5087050.98,0,0.0,198000,1819620.0,135300,1244288.0,355542,3267430.98,206700,1900661.0,495817,4556558.23,384865,3539150.35,325900,2995021.0,20190102145000000 to 20190102150000000
