主力净流入,主力流入,主力流出,超大买单成交量,超大买单成交额,超大卖单成交量,超大卖单成交额,大买单成交量,大买单成交额,大卖单成交量,大卖单成交额,中买单成交量,中买单成交额,中卖单成交量,中卖单成交额,小买单成交量,小买单成交额,小卖单成交量,小卖单成交额,时间区间
-1005088.50,1332648.53,2337737.03,244400,995226,0,0,83109,337422.53,576500,2337737.03,409597,1665264.23,496200,2014502.05,345400,1405261.02,539776,2190845.78,20190102093000000 to 20190102094500000
99876,406000,306124,0,0,0,0,100000,406000,75400,306124,150000,609441.01,455338,1844169.95,279540,1134923.44,526055,2130842.05,20190102094500000 to 20190102100000000
-2670816.34,587142.59,3257958.94,0,0,706673,2852958.94,145152,587142.59,100000,405000,180600,731097,469370,1897181.18,312327,1265680.85,279715,1130951.71,20190102100000000 to 20190102101500000
1238313.88,1480713.88,242400,250000,1011669.88,0,0,116100,469044,60000,242400,63500,256170.01,1007088,4058824.89,279200,1128084.92,179500,724033.02,20190102101500000 to 20190102103000000
117467.03,1510565.06,1393098.03,243300,985365.06,0,0,130000,525200,345400,1393098.03,189400,768058.02,373500,1505129.10,342400,1385668.04,127000,512416.02,20190102103000000 to 20190102104500000
-423030.91,1472947.69,1895978.59,0,0,0,0,362795,1472947.69,467310,1895978.59,258832,1050713.54,131105,531625.31,248600,1009710.00,144795,586698.73,20190102104500000 to 20190102110000000
-1054452.59,0,1054452.59,0,0,200000,810000,0,0,60210,244452.59,56490,229349.41,100243,406502.16,237317,963440.85,123920,502024.02,20190102110000000 to 20190102111500000
0,0,0,0,0,0,0,0,0,0,0,89900,365371,28000,113400,351345,1427827.87,73445,297690.71,20190102111500000 to 20190102113000000
-151625,254375,406000,0,0,0,0,62500,254375,100000,406000,305300,1242809.53,71600,290762.00,299800,1219804.69,78000,316657.00,20190102130000000 to 20190102131500000
-663622.03,0,663622.03,0,0,0,0,0,0,163700,663622.03,101800,413634.01,185960,753504.02,84240,342220.00,125440,508058.02,20190102131500000 to 20190102133000000
-563262.33,4950191.83,5513454.16,455200,1845988.06,1120010,4515129.12,767165,3104203.77,246500,998325.03,553400,2242945.93,237300,960409.01,402168,1628794.45,108960,441467.41,20190102133000000 to 20190102134500000
-876578,0,876578,0,0,0,0,0,0,216700,876578,63500,256754.01,42800,173212,113650,460702.01,118500,479431.02,20190102134500000 to 20190102140000000
392196,392196,0,0,0,0,0,96600,392196,0,0,389800,1582332.00,191790,776812.52,212100,860177.03,245250,993090.51,20190102140000000 to 20190102141500000
233482.03,1421458.03,1187976,0,0,0,0,349500,1421458.03,293100,1187976,216800,881006.02,216400,878035.01,137533,558758.98,151400,614391.17,20190102141500000 to 20190102143000000
-469336,0,469336,0,0,0,0,0,0,115600,469336,60800,246697.00,180400,731194.01,167000,678396.02,258055,1045607.91,20190102143000000 to 20190102144500000
-1211425.81,266895,1478320.81,0,0,0,0,65900,266895,365419,1478320.81,122640,496912.02,298965,1209126.26,166300,674549.01,359223,1453961.21,20190102144500000 to 20190102150000000
