主力净流入,主力流入,主力流出,超大买单成交量,超大买单成交额,超大卖单成交量,超大卖单成交额,大买单成交量,大买单成交额,大卖单成交量,大卖单成交额,中买单成交量,中买单成交额,中卖单成交量,中卖单成交额,小买单成交量,小买单成交额,小卖单成交量,小卖单成交额,时间范围
611289,611289,0,0,0,0,0,65100,611289,0,0,87600,822564,147994,1389663.66,67100,630069,21706,203819.34,2019/1/2 9:25
-5581340,3067448,8648788,0,0,521600,4886715,327000,3067448,401600,3762073,274500,2574730,1106897,10368687.8,297403,2788485.2,666100,6239102,2019/1/2 9:30
-23898902.16,4527929.63,28426831.79,0,0,1254063,11658403.79,486100,4527929.63,1807400,16768428,365400,3392728,2312900,21455468,426700,3964843,767937,7132761.21,2019/1/2 9:40
-6643798.28,8479403.52,15123201.8,0,0,348000,3221788,915519,8479403.52,1286240,11901413.8,1115500,10333005,1038900,9605011.4,397500,3680779,334862,3097221.92,2019/1/2 9:50
9496853,12542943,3046090,735000,6815220,0,0,617100,5727723,328700,3046090,411200,3813064,454300,4209335,272600,2527667,323948,3002140.96,2019/1/2 10:00
-9003510.33,2509653.03,11513163.36,0,0,900100,8316045.39,271661,2509653.03,345639,3197117.97,283600,2623505,393300,3636760,220800,2043155,231380,2139586.6,2019/1/2 10:10
287990,1706625,1418635,184500,1706625,0,0,0,0,153300,1418635,252350,2336844.5,128300,1186851,171400,1587070,225778,2088490,2019/1/2 10:20
-5184610.39,801050,5985660.39,0,0,336000,3106185,86600,801050,311900,2879475.39,138261,1277567.03,547539,5056235.97,141700,1309821,353400,3264646,2019/1/2 10:30
156188,917532,761344,0,0,0,0,99300,917532,82500,761344,178600,1649775,332800,3072749,182500,1686178,193400,1785730,2019/1/2 10:40
894475,3126816,2232341,0,0,0,0,338400,3126816,241800,2232341,130300,1204687,625800,5778919,184600,1706631,241589,2231358.47,2019/1/2 10:50
-3322838,461500,3784338,0,0,170000,1567400,50000,461500,240100,2216938,96700,893486,474800,4379723,156700,1446964,237400,2190704,2019/1/2 11:00
-2039136,1060527,3099663,114900,1060527,271000,2499987,0,0,64900,599676,75700,699252,318500,2939063,157000,1450440,113700,1049322,2019/1/2 11:10
113128,737752,624624,0,0,0,0,79800,737752,67600,624624,103800,959912,258283,2385814.89,125820,1163463.8,99043,914952.89,2019/1/2 11:20
-4738232.96,816855,5555087.96,0,0,506752,4675008.96,88500,816855,95400,880079,98500,909697,241672,2230599.08,142448,1315418.52,193228,1782894.44,2019/1/2 13:00
-10969807.8,0,10969807.8,0,0,943060,8688828.2,0,0,247700,2280979.6,148640,1370729.4,501900,4622465,201140,1854769.4,379300,3493611.4,2019/1/2 13:10
-2321611,1259452,3581063,0,0,200000,1842612,136600,1259452,188700,1738451,214500,1977600,332735,3064706.35,234165,2157920.65,220565,2031256,2019/1/2 13:20
-7241504.86,3522491.18,10763996.04,150258,1383876.18,702000,6459157.42,231900,2138615,467422,4304838.62,235700,2171151,392177,3612019.4,253856,2338795.76,208622,1921274.62,2019/1/2 13:30
16064,878696,862632,0,0,0,0,95200,878696,93500,862632,160200,1478646,198000,1826310,126700,1169593,237800,2193120,2019/1/2 13:40
-15677034,1591488,17268522,172800,1591488,1258000,11574213,0,0,618600,5694309,176300,1625588,576900,5311614.04,175640,1618608,325460,2997141.56,2019/1/2 13:50
-2458534.56,3880134,6338668.56,119900,1099483,296040,2717647.2,302900,2780651,394696,3621021.36,363000,3338304,841900,7730557.6,393700,3619547,353020,3241774.6,2019/1/2 14:00
904422,1408209,503787,0,0,0,0,152900,1408209,54700,503787,146900,1352960,78300,720750,233700,2152555,140500,1292864,2019/1/2 14:10
-648953,324544,973497,0,0,0,0,35200,324544,105700,973497,295600,2725681,139300,1282865,146000,1346123,106391,979834.51,2019/1/2 14:20
738018,1236820,498802,0,0,0,0,134000,1236820,54100,498802,146300,1351456,195200,1801052,130900,1208767,198400,1830208,2019/1/2 14:30
-5193262.8,3634132.6,8827395.4,0,0,659900,6071481,394480,3634132.6,299551,2755914.4,229340,2112469.29,336669,3100986.69,135800,1250533.09,279669,2575532,2019/1/2 14:40
-3589652,810520,4400172,0,0,198000,1819620,88100,810520,280800,2580552,121400,1116754,437700,4022463,232300,2137078,288400,2650396,2019/1/2 14:50
-253110.98,433768,686878.98,0,0,0,0,47200,433768,74742,686878.98,85300,783907,58117,534095.23,152565,1402072.35,37500,344625,2019/1/2 15:00
