主力净流入,主力流入,主力流出,超大买单成交量,超大买单成交额,超大卖单成交量,超大卖单成交额,大买单成交量,大买单成交额,大卖单成交量,大卖单成交额,中买单成交量,中买单成交额,中卖单成交量,中卖单成交额,小买单成交量,小买单成交额,小卖单成交量,小卖单成交额,时间区间
-5564492.06,3067447.94,8631940,0,0,521600,4886715,327000,3067447.94,399800,3745225,274500,2574730.01,1106897,10368687.77,301303,2824989.20,664000,6219445.99,20190102093000000 to 20190102094000000
-23754446.06,4527929.72,28282375.78,0,0,1238463,11513947.75,486100,4527929.72,1807400,16768428.03,381000,3537184.02,2312900,21455467.99,426700,3964843.04,767937,7132761.24,20190102094000000 to 20190102095000000
-6643798.25,8479403.59,15123201.84,0,0,348000,3221788,915519,8479403.59,1286240,11901413.84,1123700,10408937.09,1030700,9529079.34,397500,3680779.03,334862,3097221.92,20190102095000000 to 20190102100000000
10163778.12,12868543.12,2704765,735000,6815220.12,0,0,652300,6053323,291800,2704765,411200,3813064.05,454300,4209335.03,272600,2527667.02,325648,3017866.01,20190102100000000 to 20190102101000000
-9003510.28,2509652.97,11513163.25,0,0,900100,8316045.25,271661,2509652.97,345639,3197118,283600,2623505,387300,3581320.01,222800,2061635.01,235380,2176546.61,20190102101000000 to 20190102102000000
287990,1706625,1418635,184500,1706625,0,0,0,0,153300,1418635,252350,2336844.50,128300,1186851,171400,1587070.00,225778,2088490,20190102102000000 to 20190102103000000
-5184610.31,801050,5985660.31,0,0,336000,3106185,86600,801050,311900,2879475.31,138261,1277566.99,547539,5056235.89,141700,1309820.98,353400,3264645.97,20190102103000000 to 20190102104000000
156188,917532,761344,0,0,0,0,99300,917532,82500,761344,178600,1649774.94,332800,3072748.97,182500,1686177.98,193400,1785729.97,20190102104000000 to 20190102105000000
894475.09,3126816,2232340.91,0,0,0,0,338400,3126816,241800,2232340.91,130300,1204687,625800,5778918.86,184600,1706631,241589,2231358.42,20190102105000000 to 20190102110000000
-3322838.12,461499.97,3784338.09,0,0,170000,1567400.12,50000,461499.97,240100,2216937.97,96700,893486,474800,4379723.01,156700,1446963.95,237400,2190703.98,20190102110000000 to 20190102111000000
-2039136,1060527,3099663,114900,1060527,271000,2499987,0,0,64900,599676,75700,699251.98,318500,2939062.88,157000,1450439.98,113700,1049321.97,20190102111000000 to 20190102112000000
113128,737752,624624,0,0,0,0,79800,737752,67600,624624,103800,959912,258283,2385814.88,125820,1163463.80,99043,914952.88,20190102112000000 to 20190102113000000
-4738233.06,816854.94,5555088,0,0,506752,4675009,88500,816854.94,95400,880079,98500,909696.95,241672,2230599.06,142448,1315418.48,193228,1782894.43,20190102130000000 to 20190102131000000
-10969807.84,0,10969807.84,0,0,943060,8688828.25,0,0,247700,2280979.59,148640,1370729.39,501900,4622465.01,201140,1854769.39,379300,3493611.40,20190102131000000 to 20190102132000000
-2321611,1259452,3581063,0,0,200000,1842612,136600,1259452,188700,1738451,214500,1977599.99,332735,3064706.35,234165,2157920.65,220565,2031256,20190102132000000 to 20190102133000000
-7241504.88,3522491.22,10763996.09,150258,1383876.25,702000,6459157.50,231900,2138614.97,467422,4304838.59,235700,2171151,392177,3612019.37,253856,2338795.75,208622,1921274.62,20190102133000000 to 20190102134000000
16064,878696,862632,0,0,0,0,95200,878696,93500,862632,160200,1478645.99,198000,1826309.94,126700,1169592.97,237800,2193119.98,20190102134000000 to 20190102135000000
-15677033.78,1591488,17268521.78,172800,1591488,1258000,11574212.88,0,0,618600,5694308.91,176300,1625587.94,576900,5311613.99,175640,1618607.98,325460,2997141.56,20190102135000000 to 20190102140000000
-2458534.72,3880133.91,6338668.62,119900,1099483,296040,2717647.25,302900,2780650.91,394696,3621021.38,363000,3338303.97,841900,7730557.54,393700,3619546.95,353020,3241774.57,20190102140000000 to 20190102141000000
904422,1408209,503787,0,0,0,0,152900,1408209,54700,503787,146900,1352960,78300,720750,233700,2152555,140500,1292864,20190102141000000 to 20190102142000000
-648953,324544,973497,0,0,0,0,35200,324544,105700,973497,295600,2725680.99,139300,1282865,146000,1346122.99,106391,979834.51,20190102142000000 to 20190102143000000
738017.94,1236819.94,498802,0,0,0,0,134000,1236819.94,54100,498802,146300,1351455.98,194200,1791821.94,131900,1217996.96,198400,1830207.98,20190102143000000 to 20190102144000000
-5193262.81,3634132.56,8827395.38,0,0,659900,6071481,394480,3634132.56,299551,2755914.38,229340,2112469.25,336669,3100986.70,135800,1250533.08,279669,2575532.00,20190102144000000 to 20190102145000000
-3842762.84,1244287.97,5087050.81,0,0,198000,1819620,135300,1244287.97,355542,3267430.81,206700,1900660.96,495817,4556558.10,384865,3539150.29,325900,2995020.90,20190102145000000 to 20190102150000000
